ID,Nombre,Domicilio,locations,point,latitude,longitude,altitude
0,Dr. José Eleuterio González,"Av. Dr. José Eleuterio González S/N, Mitras Centro, 64460 Monterrey, N.L.","Avenida Doctor José Eleuterio González, Monterrey, Nuevo León 64000, Mexico","(25.69263, -100.3515, 0.0)",25.69263,-100.3515,0.0
1,Museo de Historia Mexicana,"Dr José Ma. Coss 445, Centro, 64000 Monterrey, N.L.","Calle Doctor José María Coss 445, Monterrey, Nuevo León 64000, Mexico","(25.67204, -100.3082, 0.0)",25.67204,-100.3082,0.0
2,Tec de Monterrey,"Av. Eugenio Garza Sada Sur 2501 Sur, Tecnológico, 64849 Monterrey, N.L.","Avenida Eugenio Garza Sada 2501, Monterrey, Nuevo León 64849, Mexico","(25.65219, -100.29266, 0.0)",25.65219,-100.29266,0.0
3,Carnes Ramos Las Torres,"Av Lázaro Cárdenas 3500, Del Paseo Residencial, 64920 Monterrey, N.L.","Avenida Lázaro Cárdenas 3500, Monterrey, Nuevo León 64920, Mexico","(25.62422, -100.29078, 0.0)",25.62422,-100.29078,0.0
4,Iglesia Cristo de La Montaña,"Anaxágoras 1000, Contry La Silla 1er Sector, 67173 Monterrey, N.L.","Calle del Río La Silla 1, Monterrey, Nuevo León 64850, Mexico","(25.6372, -100.27038, 0.0)",25.6372,-100.27038,0.0
5,Costco Wholesale,"Av. Lázaro Cárdenas 800, Zona Valle Oriente, 66269 Monterrey, N.L.","Avenida Lázaro Cárdenas 800, Monterrey, Nuevo León 66278, Mexico","(25.639681, -100.317679, 0.0)",25.639681,-100.317679,0.0
6,Planetarium Alfa,"Av. Roberto Garza Sada 1000, Carrizalejo, 66254 San Pedro Garza García, N.L.","Avenida Roberto Garza Sada 1000, Monterrey, Nuevo León 66297, Mexico","(25.63588, -100.35808, 0.0)",25.63588,-100.35808,0.0
7,Industrias John Deere,"Blvd Gustavo Díaz Ordaz #500, Zona Industrial, 66210 San Pedro Garza García, N.L.","Boulevard Gustavo Díaz Ordaz 500, Monterrey, Nuevo León 66217, Mexico","(25.67468, -100.41837, 0.0)",25.67468,-100.41837,0.0
8,Epicor Software México,"Boulevard Antonio L. Rodríguez Plaza Sur 1882, Santa María, 64650 Monterrey, N.L.","Privada Santa María & Boulevard Antonio L. Rodríguez, El Encuentro Fascinante entre la Historia y la Modernidad, Ruta Madero y Carranza, Eje Metropolitano 22, Ruta Hidalgo Norte, Entre Cortes y Viñedos-Coahuila-Nuevo León, Monterrey, Nuevo León 64650, Mexico","(25.66941, -100.37447, 0.0)",25.66941,-100.37447,0.0
9,CEDIS Coppel,"Manuel de la Peña y Peña 1375, Sin Nombre de Col 22, Monterrey, N.L.","Calle Manuel de la Peña y Peña 1375, Monterrey, Nuevo León 64410, Mexico","(25.70216, -100.32497, 0.0)",25.70216,-100.32497,0.0
10,The Home Depot Cumbres Oeste,"Av Abraham Lincoln 14790, Parque Industrial Cd Mitras, 66230 García, N.L.","Avenida Abraham Lincoln, García, Nuevo León 66023, Mexico","(25.78068, -100.45651, 0.0)",25.78068,-100.45651,0.0
11,Parque Fundadores,"Ojo de Agua 55, Moderno Apodaca II, 66600 Cd Apodaca, N.L.","Camino al Ojo de Agua 55, Monterrey, Nuevo León 66604, Mexico","(25.76329, -100.20808, 0.0)",25.76329,-100.20808,0.0
12,Plaza Arcadia,"Av Eloy Cavazos 3301, Camino Real, 67170 Guadalupe, N.L.","Avenida Eloy Cavazos 3301, Guadalupe, Nuevo León 67170, Mexico","(25.6594452, -100.2277285, 0.0)",25.6594452,-100.2277285,0.0
13,Parque Acuático Margaritas,"Hacienda Las Margaritas 8vo. Sector, 67114 Ciudad Apodaca, NL","Ciudad Apodaca, NL, Mexico","(25.78129387, -100.18922424, 0.0)",25.78129387,-100.18922424,0.0
14,Parque Lineal Escobedo,"Av. Las Torres, Sin Nombre de Col 15, 66056 Cd Gral Escobedo, N.L.","Avenida Las Torres & Calle 15 de Marzo, Monterrey, Nuevo León 66056, Mexico","(25.78945, -100.31903, 0.0)",25.78945,-100.31903,0.0
15,Plaza Sendero Santa Catarina,"Carr. Monterrey - Saltillo 2601, Parque Industrial la Puerta, 66367 Santa Catarina, N.L.","Carretera Saltillo-Monterrey, Santa Catarina, Nuevo León 66367, Mexico","(25.6881114, -100.49611577, 0.0)",25.6881114,-100.49611577,0.0
